Participant,Q16_1,Q16_2,Q16_3,Q16_4,Q16_5,Q16_6,Q16_7,Q16_8,Q16_9,Q16_10,Q16_11,Q16_12,Q16_13,Q16_14,Q16_15,Q16_16,Q16_17,Q16_18,Q16_19,Q16_20,Q16_21,Q16_22,Q16_23,Q16_24,Q16_25,Q16_26,Q16_27,Q16_28,Q16_29,Q16_30,Q16_31,Q16_32,Q16_33,Q16_34,Q16_35,Q16_36,Q16_37,Q16_38,Q16_39,Q16_40,Q16_41,Q16_42,Q16_43,Q16_44,Q16_45,Q16_46,Q16_47,Q16_48,Q16_49,Q16_50,Q16_51,Q16_52,Q16_53,Q16_54,Q16_55,Q16_56,Q16_57,Q16_58,Q16_59,Q16_60,Q16_61,Q16_62,Q16_63,Others1,Top5Male,Q74_1,Q74_2,Q74_3,Q74_4,Q74_5,Q74_6,Q74_7,Q74_8,Q74_9,Q74_10,Q74_11,Q74_12,Q74_13,Q74_14,Q74_15,Q74_16,Q74_17,Q74_18,Q74_19,Q74_20,Q74_21,Q74_22,Q74_23,Q74_24,Q74_25,Q74_26,Q74_27,Q74_28,Q74_29,Q74_30,Q74_31,Q74_32,Q74_33,Q74_34,Q74_35,Q74_36,Q74_37,Q74_38,Q74_39,Q74_40,Q74_41,Q74_42,Q74_43,Q74_44,Q74_45,Q74_46,Q74_47,Q74_48,Q74_49,Q74_50,Q74_51,Q74_52,Q74_53,Q74_54,Q74_55,Q74_56,Q74_57,Q74_58,Q74_59,Q74_60,Q74_61,Q74_62,Others2,Top5female,Q0,ID1,ID2,ID3,ID4,ID5,ID6,OP1,OP2,OP3,OP4,OP5,OP6,OP7,OP8,OP9,OP10,OP11,OP12,OP13,OP14,OP15,OP16,OP17,OP18,OP19,OP20,OP21,OP22,OP23,OP24,MCB1,MCB2,MCB3,MCB4,MCB5,MCB6,MCB7,MCB8,Gender,Age,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q2_6_TEXT,Race,SchoolYear,Major,SES,Generation,Q7,Q8,AROS_Emotional,AROS_Standard,AROS_Devaluation,AROS_Thinking,AROS_TOTAL,MCB_Multi,MCB_Blind,EID_Exp,EID_Com,EID_TOTAL,Smart_M,Exotic_M,Passive_M,Traditional_M,Secretive_M,Methodical_M,Self_Centered_M,Asexual_M,Aggressive_M,Avante_Garde_M,Open_M,Spontaneous_M,Caring_M,Cruel_M,Smart_W,Exotic_W,Passive_W,Traditional_W,Secretive_W,Methodical_W,Self_Centered_W,Asexual_W,Aggressive_W,Avante_Garde_W,Open_W,Spontaneous_W,Caring_W,Cruel_W,AAWomen,AAMen,M16_1,M16_2,M16_3,M16_4,M16_5,M16_6,M16_7,M16_8,M16_9,M16_10,M16_11,M16_12,M16_13,M16_14,M16_15,M16_16,M16_17,M16_18,M16_19,M16_20,M16_21,M16_22,M16_23,M16_24,M16_25,M16_26,M16_27,M16_28,M16_29,M16_30,M16_31,M16_32,M16_33,M16_34,M16_35,M16_36,M16_37,M16_38,M16_39,M16_40,M16_41,M16_42,M16_43,M16_44,M16_45,M16_46,M16_47,M16_48,M16_49,M16_50,M16_51,M16_52,M16_53,M16_54,M16_55,M16_56,M16_57,M16_58,M16_59,M16_60,M16_61,M16_62,W74_1,W74_2,W74_3,W74_4,W74_5,W74_6,W74_7,W74_8,W74_9,W74_10,W74_11,W74_12,W74_13,W74_14,W74_15,W74_16,W74_17,W74_18,W74_19,W74_20,W74_21,W74_22,W74_23,W74_24,W74_25,W74_26,W74_27,W74_28,W74_29,W74_30,W74_31,W74_32,W74_33,W74_34,W74_35,W74_36,W74_37,W74_38,W74_39,W74_40,W74_41,W74_42,W74_43,W74_44,W74_45,W74_46,W74_47,W74_48,W74_49,W74_50,W74_51,W74_52,W74_53,W74_54,W74_55,W74_56,W74_57,W74_58,W74_59,W74_60,W74_61,W74_62,Smart_M2,Exotic_M2,Passive_M2,Traditional_M2,Secretive_M2,Methodical_M2,Self_Centered_M2,Asexual_M2,Aggressive_M2,Avante_Garde_M2,Open_M2,Spontaneous_M2,Caring_M2,Cruel_M2,Smart_W2,Exotic_W2,Passive_W2,Traditional_W2,Secretive_W2,Methodical_W2,Self_Centered_W2,Asexual_W2,Aggressive_W2,Avante_Garde_W2,Open_W2,Spontaneous_W2,Caring_W2,Cruel_W2
1,1,0,0,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,,,intelligent (school) ambitious (work) passionate (life) tradition-loving (dating) persistent (fighting for what they think is right),1,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,,intelligent (school) loyal to family ties (will always be there for their families) attractive (beauty features) faithful (loyal to partner and friends) neat (organized),Hispanic,3,4,4,3,4,3,4,4,5,1,2,3,2,2,2,4,3,1,2,2,1,6,2,1,1,1,1,1,1,1,6,7,7,7,6,7,7,6,2,18,,,,1,,,,4,2nd,Deaf Studies,5,2,,,2.14,2.33,1.25,4.67,53,6.75,6.5,3.33,3.67,3.5,1,2,3,2,1,1,0,0,1,0,1,0,1,0,2,2,2,3,1,1,0,0,1,0,1,1,0,0,9,8,0.07,0,0,0.07,0.07,0,0,0,0.07,0,0,0.07,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0,0,0.07,0,0,0,0.07,0,0,0,0.07,0,0.07,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0.07,0.07,0,0,0,0,0,0,0,0,0.06,0,0,0.06,0.06,0.06,0,0,0.06,0,0,0.06,0,0,0,0,0.06,0,0,0,0.06,0.06,0,0,0,0,0,0,0.06,0,0.06,0,0.06,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0,0,0.06,0,0.07,0.14,0.21,0.14,0.07,0.07,0,0,0.07,0,0.07,0,0.07,0,0.12,0.12,0.12,0.18,0.06,0.06,0,0,0.06,0,0.06,0.06,0,0
2,1,0,0,1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,0,0,,,"intelligent, school shy, parties and soca; settings  effeminate, with other ethnicities  inhibited, with family  courteous, with family and public",1,1,0,1,1,0,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,,"reserved, eating  intelligent, school sophisticated, in front of others  neat, in house and with belongings  unaggressive, most of the time",Asian American,4,2,4,4,4,4,4,3,7,1,2,2,3,4,4,6,3,1,5,4,3,3,4,3,2,3,1,1,7,3,7,7,7,7,7,6,5,1,2,18,,1,1,,,1,White- filipino,6,3,psychology,9,1,philippines,19,4.14,3.83,1.75,4.33,79,7,4.75,4,3.33,3.67,1,1,8,5,2,2,0,1,3,1,1,2,3,0,3,2,6,2,2,3,0,0,1,2,1,1,3,1,13,13,0.03,0,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0,0.03,0,0.03,0,0,0,0,0,0.03,0.03,0,0.03,0,0.03,0,0.03,0.03,0,0,0.03,0,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0,0.03,0,0,0,0,0,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0.03,0,0,0,0,0,0.03,0.03,0,0.03,0.03,0,0,0,0.03,0.03,0,0.03,0,0,0,0,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0,0.03,0.03,0,0,0,0,0.03,0.03,0.03,0,0,0,0.03,0,0,0,0,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0,0,0,0,0,0,0.03,0.03,0.24,0.15,0.06,0.06,0,0.03,0.09,0.03,0.03,0.06,0.09,0,0.09,0.06,0.18,0.06,0.06,0.09,0,0,0.03,0.06,0.03,0.03,0.09,0.03
3,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,,,"straightforward, loyal to family ties, neat, religious, intelligent, tradition loving",1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,,"passionate, attractive, religious, generous, shy, intelligent",white,3,3,3,3,3,3,2,2,2,2,2,2,2,5,5,2,2,1,1,4,1,2,3,1,1,1,1,1,1,1,7,7,7,7,1,7,7,1,2,18,,,1,,,,,3,1st,rec therapy,8,2,,,1.43,3.5,1.25,2,47,7,4,3,3,3,2,0,2,4,0,1,0,0,2,1,2,0,0,0,2,2,2,2,0,0,0,0,0,0,2,0,1,1,8,7,0.06,0,0.06,0,0.06,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0,0,0.06,0,0.06,0.06,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0.06,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0.06,0,0.06,0.06,0.06,0,0.06,0,0,0,0.06,0,0,0.06,0.06,0.06,0,0,0.06,0,0,0,0.06,0,0,0,0,0.06,0,0,0.06,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0.06,0,0.12,0,0.12,0.24,0,0.06,0,0,0.12,0.06,0.12,0,0,0,0.12,0.12,0.12,0.12,0,0,0,0,0,0,0.12,0,0.06,0.06
4,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,,Intelligent : in the classroom Ambitious : in school and sports. Always successful  Shy : social settings in general  Sophisticated : any social gathering always looks put together  Unaggressive : in conversations always nice and respectful,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,,Attractive : anytime and anywhere Intelligent : in the classroom Ambitious : in school and sports. Always successful  Shy : social settings in general  Practical : group projects in school,Black,5,5,5,5,5,5,1,1,1,1,1,1,4,6,2,1,1,1,1,6,1,1,1,5,1,1,1,1,1,1,7,7,7,7,7,7,7,1,2,19,1,,,,,,,1,1st,Criminal Justice,2,5,,,1.57,3.33,1,1,42,7,5.5,5,5,5,2,2,3,3,0,1,0,0,1,2,1,0,1,0,2,2,3,3,0,1,0,0,1,1,0,0,1,0,10,9,0.05,0,0.05,0,0,0,0,0,0,0,0,0.05,0,0,0.05,0,0,0,0.05,0,0.05,0.05,0.05,0,0.05,0,0,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0.05,0,0,0,0.05,0,0,0,0,0.05,0,0,0,0.06,0.06,0,0,0.06,0,0,0,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0.06,0,0,0,0.06,0,0,0.06,0.06,0.06,0,0,0,0.06,0,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0.1,0.1,0.15,0.15,0,0.05,0,0,0.05,0.1,0.05,0,0.05,0,0.12,0.12,0.18,0.18,0,0.06,0,0,0.06,0.06,0,0,0.06,0
5,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,,,Industrious (working)  Dependent (in finance)  Conservative (in the family)  Intelligent (school and study)  Faithful (in a relationship).,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,,"Faithful (in a relationship or family)  Superstitious (lucky and unlucky numbers, things not to do on New Year, etc.)  Sensitive (in a relationship or judgment from other people)  Courteous (in everything, such as talking, walking, or behave, etc.)  Industrious (working)",Southeast Asian,4,5,4,3,3,3,4,2,5,1,1,1,5,5,1,1,3,1,1,3,2,2,1,1,1,1,1,1,1,1,7,7,3,7,1,7,7,5,2,20,,,,,,1,Southeast Asian,6,2nd,Child Development,3,1,Vietnam,5,1.29,3.17,1,3.33,46,6,5,3.33,4,3.67,1,0,2,3,1,3,0,0,1,2,0,0,2,0,0,0,4,3,0,4,0,0,2,4,1,0,3,0,7,9,0.06,0,0,0.06,0,0,0.06,0,0,0,0,0.06,0,0,0.06,0,0,0,0.06,0.06,0,0,0.06,0,0,0,0,0,0,0,0.06,0,0.06,0,0.06,0,0.06,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0,0,0,0,0,0,0.04,0,0.04,0,0.04,0,0,0.04,0,0,0.04,0,0.04,0,0.04,0.04,0,0,0.04,0,0,0,0.04,0,0,0,0.04,0,0.04,0.04,0.04,0,0.04,0,0,0.04,0,0.04,0.04,0.04,0,0,0.04,0,0.04,0.04,0,0,0,0,0,0,0.04,0.04,0,0,0.04,0,0.06,0,0.12,0.18,0.06,0.18,0,0,0.06,0.12,0,0,0.12,0,0,0,0.16,0.12,0,0.16,0,0,0.08,0.16,0.04,0,0.12,0
6,1,0,1,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,0,,,"Intelligent, persistent, practical, straight forward, honest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,Asian American,1,1,1,1,1,1,7,7,4,7,7,7,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,3,4,4,5,3,1,19,,1,,,,,,2,3,Psychology,10,2,,,4.86,4.17,4.88,4,110,3.75,4,1,1,1,1,1,0,0,1,4,0,0,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0.06,0,0.06,0.06,0,0,0,0,0.06,0.06,0,0,0.06,0,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0,0.06,0,0,0,0,0.06,0,0,0,0.06,0,0,0,0,0.06,0.06,0,0,0,0.06,0,0,0,0,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.06,0.06,0,0,0.06,0.24,0,0,0.06,0.06,0.12,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,0,1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,,,Passionate  religious  loyal to family ties  intelligent  athletic,1,0,0,1,1,0,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,,attractive  sophisticated  inteligent  shy  faithful,Filipino,4,4,4,4,4,4,5,1,4,1,2,2,2,2,2,6,4,1,1,1,1,3,3,1,1,1,1,1,1,1,6,6,6,6,4,3,7,1,1,25,,,,,,1,filipino,6,1st,pre-nursing,3,1,Philippines,17,1.86,2.5,1.13,3.67,48,6,3.75,4,4,4,1,2,3,3,0,1,0,0,1,3,2,2,2,0,1,2,2,3,1,1,0,0,1,1,1,1,2,1,8,8,0.04,0,0.04,0,0.04,0.04,0,0,0.04,0.04,0,0.04,0.04,0.04,0.04,0,0.04,0,0.04,0.04,0.04,0,0,0,0,0,0.04,0,0.04,0,0.04,0,0,0,0,0,0,0.04,0.04,0.04,0,0,0,0.04,0,0.04,0,0,0,0.04,0,0,0.04,0.04,0,0,0,0,0.04,0,0.04,0,0.05,0,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0.05,0.05,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0.05,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0.05,0,0.05,0,0.04,0.08,0.12,0.12,0,0.04,0,0,0.04,0.12,0.08,0.08,0.08,0,0.05,0.1,0.1,0.15,0.05,0.05,0,0,0.05,0.05,0.05,0.05,0.1,0.05
8,1,1,0,1,1,1,0,1,1,0,1,1,0,1,1,0,0,1,1,1,1,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,,,"arrogant, individualistic, shy, intelligent, quick tempered",1,1,0,1,1,1,0,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,0,0,1,1,,"shy, sensitive, materialistic, impulsive, radical",Asian American,3,4,4,4,3,4,4,4,1,1,3,1,4,4,4,1,1,1,1,4,1,1,4,1,1,1,1,1,1,1,5,5,6,6,6,6,5,5,2,19,,1,,,,,,2,1st,kinesiology exercise science,4,2,,,1.71,4,1,1,47,5.5,5.5,3.33,4,3.67,1,2,6,5,2,3,3,0,0,2,1,1,2,2,3,2,5,5,2,3,2,0,0,3,1,1,3,2,15,15,0.03,0.03,0,0.03,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0,0,0.03,0.03,0.03,0.03,0,0,0,0.03,0.03,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0.03,0.03,0,0,0,0.03,0,0.03,0,0.03,0,0,0.03,0,0.03,0.03,0.03,0,0.03,0.03,0,0,0,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0,0,0.03,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0,0.03,0.03,0.03,0,0,0.03,0.03,0,0.03,0,0,0,0,0.03,0,0.03,0.03,0.03,0,0.03,0.03,0,0,0,0.03,0.03,0.03,0.06,0.18,0.15,0.06,0.09,0.09,0,0,0.06,0.03,0.03,0.06,0.06,0.09,0.06,0.15,0.15,0.06,0.09,0.06,0,0,0.09,0.03,0.03,0.09,0.06
9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,,,"intelligent - classroom discussion, homework loyal to family ties - family reunions/holidays courteous - taking care of parents/grandparents individualistic - going to college alone reserved - sad or emotionally/mentally in pain",1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,,intelligent - homework or school projects loyal to family ties - family reunion/holidays sensitive - cry when yelled at nurturant - taking care of children gregarious - school or church,Asian American,4,3,3,2,2,4,1,3,1,1,1,1,2,2,2,1,1,1,1,1,1,1,3,2,1,1,1,1,2,1,7,7,7,5,6,6,7,2,2,20,,1,,,,,,2,2nd,Psychology,7,3,,,1.57,1.83,1,1,33,6.5,5.25,2.67,3.33,3,2,0,1,1,0,0,0,0,0,2,0,0,2,0,1,0,3,2,0,0,0,0,1,1,0,1,4,0,6,5,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0.09,0.09,0.09,0,0.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0.09,0,0,0.09,0,0,0,0,0,0.09,0,0,0,0.07,0,0,0,0.07,0,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0.07,0,0.07,0,0.07,0,0,0,0,0,0,0,0,0,0,0.07,0,0,0,0,0,0.07,0,0,0,0,0,0.07,0,0,0.07,0,0.07,0,0.07,0.07,0,0,0,0,0.18,0,0.09,0.09,0,0,0,0,0,0.18,0,0,0.18,0,0.07,0,0.21,0.14,0,0,0,0,0.07,0.07,0,0.07,0.28,0
10,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,,,intelligent- in a school/academic setting reserved-out in public generally neat- at home and with their supplies they bring to places conventional- socially with people unaggressive- always,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,intelligent- academically shy- when it comes to romance  attractive- society thinks they are attractive and put time into their appearances sensitive-emotionally sensitive neat-when it comes to apperance,mexican,3,2,4,3,2,3,2,3,4,1,5,1,1,3,1,1,1,1,1,5,2,1,1,1,1,1,2,1,4,1,7,7,7,7,6,6,7,6,2,20,,,,1,,,,4,2nd in college,pre-nursing,3,4,,,2.43,2.17,1.13,2,45,7,6.25,2.67,3,2.83,1,0,5,3,0,3,0,0,0,1,1,0,2,0,1,3,2,1,0,0,0,0,0,0,0,1,2,0,7,10,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0.05,0.05,0,0,0,0,0,0.05,0,0.05,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0.05,0,0,0.05,0.05,0,0,0,0.05,0.05,0,0,0,0.05,0,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0.09,0,0,0,0.09,0,0.09,0,0,0,0,0,0,0,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0,0.09,0,0,0,0.09,0,0,0,0,0,0,0,0,0.05,0,0.25,0.15,0,0.15,0,0,0,0.05,0.05,0,0.1,0,0.09,0.27,0.18,0.09,0,0,0,0,0,0,0,0.09,0.18,0
