particip,surveyyear,age,ethnicit,gender,grade,major,faoccup,maoccup,targend,adjectiv,categories1,categories2,rank,ranking,sit1,sit2,setting,mcodes,tcodes,ocodes,fcode
1,1996,3,3,1,1,3,39,39,men,ambitious,6,6,2, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,conservative,7,7,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,courteous,14,14,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,cowardly,5,5,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,efficient,11,11,3,4,workplace,group project,3, , , , 
1,1996,3,3,1,1,3,39,39,men,faithful,7,7,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,generous,14,14,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,honest,10,10,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,humorless,11,11,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,industrious,6,6,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,intelligent,1,1,1,1,science class,workplace,1, , , , 
1,1996,3,3,1,1,3,39,39,men,loyal to family ties,7,7,2, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,methodical,11,11,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,nationalistic,16,16,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,neat,16,16,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,passionate,3,3,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,practical,11,11,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,progressive,8,8,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,quiet,5,5,1,2,party,classroom,2, , , , 
1,1996,3,3,1,1,3,39,39,men,reserved,5,5,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,scientifically-minded,1,1,6,5,science classroom,workplace,1, , , , 
1,1996,3,3,1,1,3,39,39,men,sensitive,14,14,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,shy,5,5,1,3,party,classroom,2, , , , 
1,1996,3,3,1,1,3,39,39,men,traditional,7,7,11, , , , , , , , 
1,1996,3,3,1,1,3,39,39,men,unaggressive,5,5,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,artistic,16,16,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,conservative,7,7,1,5,party,workplace,2, , , , 
1,1996,3,3,1,1,3,39,39,women,courteous,14,14,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,dependent,5,5,2,4,party,classroom,2, , , , 
1,1996,3,3,1,1,3,39,39,women,efficient,11,11,4, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,faithful,7,7,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,honest,10,10,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,humorless,11,11,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,intelligent,1,1,1,1,classroom,workplace,1, , , , 
1,1996,3,3,1,1,3,39,39,women,loyal to family ties,7,7,2, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,passionate,3,3,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,quiet,5,5,1,2,party,workplace,2, , , , 
1,1996,3,3,1,1,3,39,39,women,reserved,5,5,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,scientifically-minded,1,1,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,secretive,9,9,1, , , , , , , , 
1,1996,3,3,1,1,3,39,39,women,sensitive,14,14,1, , , , , , , , 
