"particip,surveyyear,age,ethnicit,gender,targend,adjectiv,value"
"1,1996,20,White,Women,men,ambitious,1"
"1,1996,20,White,Women,men,conservative,1"
"1,1996,20,White,Women,men,courteous,1"
"1,1996,20,White,Women,men,cowardly,1"
"1,1996,20,White,Women,men,efficient,1"
"1,1996,20,White,Women,men,faithful,1"
"1,1996,20,White,Women,men,generous,1"
"1,1996,20,White,Women,men,honest,1"
"1,1996,20,White,Women,men,humorless,1"
"1,1996,20,White,Women,men,industrious,1"
"1,1996,20,White,Women,men,intelligent,1"
"1,1996,20,White,Women,men,loyal to family ties,1"
"1,1996,20,White,Women,men,methodical,1"
"1,1996,20,White,Women,men,nationalistic,1"
"1,1996,20,White,Women,men,neat,1"
"1,1996,20,White,Women,men,passionate,1"
"1,1996,20,White,Women,men,practical,1"
"1,1996,20,White,Women,men,progressive,1"
"1,1996,20,White,Women,men,quiet,1"
"1,1996,20,White,Women,men,reserved,1"
"1,1996,20,White,Women,men,scientifically-minded,1"
"1,1996,20,White,Women,men,sensitive,1"
"1,1996,20,White,Women,men,shy,1"
"1,1996,20,White,Women,men,traditional,1"
"1,1996,20,White,Women,men,unaggressive,1"
"1,1996,20,White,Women,women,artistic,1"
"1,1996,20,White,Women,women,conservative,1"
"1,1996,20,White,Women,women,courteous,1"
"1,1996,20,White,Women,women,dependent,1"
"1,1996,20,White,Women,women,efficient,1"
"1,1996,20,White,Women,women,faithful,1"
"1,1996,20,White,Women,women,honest,1"
"1,1996,20,White,Women,women,humorless,1"
"1,1996,20,White,Women,women,intelligent,1"
"1,1996,20,White,Women,women,loyal to family ties,1"
"1,1996,20,White,Women,women,passionate,1"
"1,1996,20,White,Women,women,quiet,1"
"1,1996,20,White,Women,women,reserved,1"
"1,1996,20,White,Women,women,scientifically-minded,1"
"1,1996,20,White,Women,women,secretive,1"
"1,1996,20,White,Women,women,sensitive,1"
"1,1996,20,White,Women,women,shy,1"
"1,1996,20,White,Women,women,traditional,1"
"1,1996,20,White,Women,women,unaggressive,1"
"2,1996,18,White,Men,men,ambitious,1"
"2,1996,18,White,Men,men,conservative,1"
"2,1996,18,White,Men,men,conventional,1"
"2,1996,18,White,Men,men,dependent,1"
"2,1996,18,White,Men,men,efficient,1"
"2,1996,18,White,Men,men,honest,1"
"2,1996,18,White,Men,men,humorless,1"
"2,1996,18,White,Men,men,industrious,1"
"2,1996,18,White,Men,men,intelligent,1"
"2,1996,18,White,Men,men,loyal to family ties,1"
"2,1996,18,White,Men,men,methodical,1"
"2,1996,18,White,Men,men,neat,1"
"2,1996,18,White,Men,men,persistent,1"
"2,1996,18,White,Men,men,practical,1"
"2,1996,18,White,Men,men,progressive,1"
"2,1996,18,White,Men,men,quiet,1"
"2,1996,18,White,Men,men,reserved,1"
"2,1996,18,White,Men,men,scientifically-minded,1"
"2,1996,18,White,Men,men,secretive,1"
"2,1996,18,White,Men,men,shrewd,1"
"2,1996,18,White,Men,men,shy,1"
"2,1996,18,White,Men,men,unaggressive,1"
"2,1996,18,White,Men,women,conventional,1"
"2,1996,18,White,Men,women,inhibited,1"
"2,1996,18,White,Men,women,loyal to family ties,1"
"2,1996,18,White,Men,women,nurturant,1"
"2,1996,18,White,Men,women,quiet,1"
"2,1996,18,White,Men,women,reserved,1"
"2,1996,18,White,Men,women,secretive,1"
"2,1996,18,White,Men,women,shy,1"
"2,1996,18,White,Men,women,traditional,1"
"2,1996,18,White,Men,women,unaggressive,1"
"3,1996,19,White,Women,men,ambitious,1"
"3,1996,19,White,Women,men,artistic,1"
"3,1996,19,White,Women,men,conservative,1"
"3,1996,19,White,Women,men,conventional,1"
"3,1996,19,White,Women,men,courteous,1"
"3,1996,19,White,Women,men,cruel,1"
"3,1996,19,White,Women,men,efficient,1"
"3,1996,19,White,Women,men,evasive,1"
"3,1996,19,White,Women,men,exotic,1"
"3,1996,19,White,Women,men,gregarious,1"
"3,1996,19,White,Women,men,honest,1"
"3,1996,19,White,Women,men,humorless,1"
"3,1996,19,White,Women,men,individualistic,1"
"3,1996,19,White,Women,men,industrious,1"
"3,1996,19,White,Women,men,inhibited,1"
"3,1996,19,White,Women,men,intelligent,1"
"3,1996,19,White,Women,men,loyal to family ties,1"
"3,1996,19,White,Women,men,meditative,1"
"3,1996,19,White,Women,men,methodical,1"
"3,1996,19,White,Women,men,nationalistic,1"
"3,1996,19,White,Women,men,neat,1"
"3,1996,19,White,Women,men,persistent,1"
"3,1996,19,White,Women,men,progressive,1"
"3,1996,19,White,Women,men,quick-tempered,1"
"3,1996,19,White,Women,men,quiet,1"
"3,1996,19,White,Women,men,religious,1"
"3,1996,19,White,Women,men,reserved,1"
